Item1,Item2.Item1.Item1,Item2.Item1.Item2.Value.IsInvalid,Item2.Item1.Item2.Value.ElementType,Item2.Item1.Item2.Value.Size.Width,Item2.Item1.Item2.Value.Size.Height,Item2.Item1.Item2.Value.Rows,Item2.Item1.Item2.Value.Cols,Item2.Item1.Item2.Value.Step,Item2.Item1.Item2.Value.Depth,Item2.Item1.Item2.Value.Channels,Item2.Item1.Item2.Value.ElementSize,Item2.Item1.Item2.Value.Data,Item2.Item1.Item2.Value.IsClosed,Item2.Item1.Item2.Timestamp,Item2.Item2
pump2_on,True,False,6,10,3,3,10,80,F64,1,8,622893840,False,2023-08-28T14:09:26.3487360+02:00,145
pump2_off,True,False,6,10,3,3,10,80,F64,1,8,13059248,False,2023-08-28T14:09:28.3449472+02:00,165
Lick2,True,False,6,10,3,3,10,80,F64,1,8,624571504,False,2023-08-28T14:09:28.6473856+02:00,168
Lick2,True,False,6,10,3,3,10,80,F64,1,8,624072144,False,2023-08-28T14:09:28.9508480+02:00,171
Lick2,True,False,6,10,3,3,10,80,F64,1,8,623844528,False,2023-08-28T14:09:29.2433792+02:00,174
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623991680,False,2023-08-28T14:09:30.2528000+02:00,184
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622125952,False,2023-08-28T14:09:36.7543552+02:00,249
Lick2,True,False,6,10,3,3,10,80,F64,1,8,620189696,False,2023-08-28T14:09:46.6498944+02:00,348
Lick2,True,False,6,10,3,3,10,80,F64,1,8,565565408,False,2023-08-28T14:09:47.8573312+02:00,360
Lick2,True,False,6,10,3,3,10,80,F64,1,8,618485376,False,2023-08-28T14:09:53.3556608+02:00,415
pump1_on,True,False,6,10,3,3,10,80,F64,1,8,621281904,False,2023-08-28T14:09:55.5604352+02:00,437
Lick2,True,False,6,10,3,3,10,80,F64,1,8,621281904,False,2023-08-28T14:09:55.5604352+02:00,437
Lick2,True,False,6,10,3,3,10,80,F64,1,8,475124480,False,2023-08-28T14:09:55.7606400+02:00,439
pump1_off,True,False,6,10,3,3,10,80,F64,1,8,619603984,False,2023-08-28T14:09:57.5562240+02:00,457
Lick1,True,False,6,10,3,3,10,80,F64,1,8,625082640,False,2023-08-28T14:09:59.6553472+02:00,478
Lick1,True,False,6,10,3,3,10,80,F64,1,8,625081424,False,2023-08-28T14:09:59.7556096+02:00,479
Lick2,True,False,6,10,3,3,10,80,F64,1,8,564852896,False,2023-08-28T14:09:59.8555392+02:00,480
Lick2,True,False,6,10,3,3,10,80,F64,1,8,621215712,False,2023-08-28T14:10:00.1564800+02:00,483
Lick1,True,False,6,10,3,3,10,80,F64,1,8,620029616,False,2023-08-28T14:10:00.5580032+02:00,487
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622662848,False,2023-08-28T14:10:01.1601024+02:00,493
